Order Month,Order Year,Customer Name,Segment,City,State,Region,Category,Sub Category,Product Name,Sales,Quantity,Discount,Profit
9,2017,Tracy Blumstein,Consumer,Jackson,Michigan,Central,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2 x 3 3/16""""""""",$19.05 ,3,0,$8.76 
4,2015,Joel Eaton,Consumer,Memphis,Tennessee,South,Furniture,Chairs,High-Back Leather Manager's Chair,$831.94 ,8,0.2,($114.39)
4,2015,Joel Eaton,Consumer,Memphis,Tennessee,South,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36 x 48""""""""",$97.04 ,2,0.2,$1.21 
4,2015,Joel Eaton,Consumer,Memphis,Tennessee,South,Office Supplies,Storage,Safco Industrial Wire Shelving System,$72.78 ,1,0.2,($18.20)
12,2017,Ken Brennan,Corporate,Houston,Texas,Central,Office Supplies,Binders,Economy Binders,$1.25 ,3,0.8,($1.93)
12,2017,Ken Brennan,Corporate,Houston,Texas,Central,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",$27.24 ,3,0.2,$2.72 
11,2014,Joel Eaton,Consumer,Houston,Texas,Central,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",$19.30 ,5,0.6,($14.48)
6,2016,Stewart Carmichael,Corporate,Decatur,Alabama,South,Office Supplies,Appliances,"1.7 Cubic Foot Compact Cube"""" Office Refrigerators""""",$208.16 ,1,0,$56.20 
6,2016,Stewart Carmichael,Corporate,Decatur,Alabama,South,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,$16.74 ,3,0,$8.04 
10,2014,Duane Noonan,Consumer,San Francisco,California,West,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",$14.90 ,5,0,$4.17 
10,2014,Duane Noonan,Consumer,San Francisco,California,West,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",$21.39 ,1,0,$6.20 
9,2015,Julie Creighton,Corporate,Durham,North Carolina,South,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,$200.98 ,7,0.2,$62.81 
11,2017,Christopher Schild,Home Office,Chicago,Illinois,Central,Office Supplies,Storage,Safco Industrial Wire Shelving,$230.38 ,3,0.2,($48.95)
5,2017,Patrick O'Donnell,Consumer,Columbia,South Carolina,South,Furniture,Chairs,Novimex Swivel Fabric Task Chair,$301.96 ,2,0,$33.22 
10,2017,Paul Gonzalez,Consumer,Rochester,Minnesota,Central,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,$19.99 ,1,0,$6.80 
10,2017,Paul Gonzalez,Consumer,Rochester,Minnesota,Central,Office Supplies,Labels,Avery 511,$6.16 ,2,0,$2.96 
4,2016,Gary Mitchum,Home Office,Houston,Texas,Central,Office Supplies,Storage,Eldon Portable Mobile Manager,$158.37 ,7,0.2,$13.86 
9,2016,Jim Sink,Corporate,Los Angeles,California,West,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,$20.10 ,3,0,$6.63 
9,2016,Jim Sink,Corporate,Los Angeles,California,West,Technology,Phones,Panasonic Kx-TS550,$73.58 ,2,0.2,$8.28 
9,2016,Jim Sink,Corporate,Los Angeles,California,West,Office Supplies,Paper,Xerox 1995,$6.48 ,1,0,$3.11 
1,2015,Karl Braun,Consumer,Minneapolis,Minnesota,Central,Office Supplies,Paper,Xerox 1999,$12.96 ,2,0,$6.22 
1,2015,Karl Braun,Consumer,Minneapolis,Minnesota,Central,Furniture,Furnishings,"Seth Thomas 13 1/2 Wall Clock""""",$53.34 ,3,0,$16.54 
1,2015,Karl Braun,Consumer,Minneapolis,Minnesota,Central,Office Supplies,Binders,Ibico Standard Transparent Covers,$32.96 ,2,0,$16.15 
11,2017,Roger Barcio,Home Office,Portland,Oregon,West,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,$5.68 ,1,0.7,($3.79)
11,2017,Parhena Norris,Home Office,New York City,New York,East,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,$96.53 ,7,0,$40.54 
6,2017,Katherine Ducich,Consumer,San Francisco,California,West,Office Supplies,Binders,Trimflex Flexible Post Binders,$51.31 ,3,0.2,$17.96 
9,2016,Elpida Rittenbach,Corporate,Saint Paul,Minnesota,Central,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,$77.88 ,6,0,$22.59 
8,2016,Rick Bensley,Home Office,Chicago,Illinois,Central,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,$64.62 ,7,0.2,$22.62 
8,2016,Rick Bensley,Home Office,Chicago,Illinois,Central,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,$95.98 ,3,0.2,($10.80)
8,2016,Rick Bensley,Home Office,Chicago,Illinois,Central,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,$1.79 ,3,0.8,($3.04)
12,2016,Gary Zandusky,Consumer,Rochester,Minnesota,Central,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),$23.92 ,4,0,$11.72 
11,2015,Lena Cacioppo,Consumer,Aurora,Colorado,West,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,$238.90 ,6,0.2,($26.88)
11,2015,Lena Cacioppo,Consumer,Aurora,Colorado,West,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",$102.36 ,3,0.2,($3.84)
11,2017,Janet Martin,Consumer,Charlotte,North Carolina,South,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,$74.11 ,8,0.2,$17.60 
11,2017,Janet Martin,Consumer,Charlotte,North Carolina,South,Technology,Phones,Speck Products Candyshell Flip Case,$27.99 ,1,0.2,$2.10 
11,2017,Janet Martin,Consumer,Charlotte,North Carolina,South,Office Supplies,Art,Newell Chalk Holder,$3.30 ,1,0.2,$1.07 
10,2015,Pete Armstrong,Home Office,Orland Park,Illinois,Central,Technology,Accessories,Logitech Gaming G510s - Keyboard,$339.96 ,5,0.2,$67.99 
12,2017,Cynthia Voltz,Corporate,New York City,New York,East,Furniture,Furnishings,Magnifier Swing Arm Lamp,$41.96 ,2,0,$10.91 
11,2016,Clay Ludtke,Consumer,Urbandale,Iowa,Central,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",$75.96 ,2,0,$22.79 
11,2016,Clay Ludtke,Consumer,Urbandale,Iowa,Central,Office Supplies,Binders,"Avery Durable Plastic 1 Binders""""",$27.24 ,6,0,$13.35 
8,2014,Ryan Crowe,Consumer,Columbus,Ohio,East,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",$40.10 ,14,0.2,$14.53 
8,2014,Ryan Crowe,Consumer,Columbus,Ohio,East,Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",$4.72 ,2,0.2,$1.65 
8,2014,Ryan Crowe,Consumer,Columbus,Ohio,East,Office Supplies,Paper,Xerox 1921,$23.98 ,3,0.2,$7.49 
8,2014,Ryan Crowe,Consumer,Columbus,Ohio,East,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",$130.46 ,6,0.2,$44.03 
3,2015,Dave Kipp,Consumer,Seattle,Washington,West,Furniture,Tables,Hon Racetrack Conference Tables,$787.53 ,3,0,$165.38 
4,2015,Greg Guthrie,Corporate,Bristol,Tennessee,South,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,$157.79 ,1,0.7,($115.72)
6,2016,Steven Cartwright,Consumer,Wilmington,Delaware,East,Furniture,Furnishings,Artistic Insta-Plaque,$47.04 ,3,0,$18.35 
6,2016,Steven Cartwright,Consumer,Wilmington,Delaware,East,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,$30.84 ,4,0,$13.88 
6,2016,Steven Cartwright,Consumer,Wilmington,Delaware,East,Office Supplies,Storage,"Companion Letter/Legal File, Black",$226.56 ,6,0,$63.44 
6,2016,Steven Cartwright,Consumer,Wilmington,Delaware,East,Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes,$115.02 ,9,0,$51.76 
6,2016,Steven Cartwright,Consumer,Wilmington,Delaware,East,Technology,Phones,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,$68.04 ,7,0,$19.73 
12,2014,Alan Dominguez,Home Office,Houston,Texas,Central,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,$600.56 ,3,0.3,($8.58)
9,2014,Philip Fox,Consumer,Bloomington,Illinois,Central,Furniture,Tables,Bevis 44 x 96 Conference Tables,$617.70 ,6,0.5,($407.68)
11,2017,Troy Staebel,Consumer,Phoenix,Arizona,West,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",$2.39 ,2,0.7,($1.83)
11,2017,Troy Staebel,Consumer,Phoenix,Arizona,West,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",$243.99 ,7,0.2,$30.50 
11,2016,Lindsay Shagiari,Home Office,Los Angeles,California,West,Furniture,Chairs,"Global Task Chair, Black",$81.42 ,2,0.2,($9.16)
11,2016,Lindsay Shagiari,Home Office,Los Angeles,California,West,Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,$238.56 ,3,0,$26.24 
2,2017,Dorothy Wardle,Corporate,Columbus,Ohio,East,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,$59.97 ,5,0.4,($11.99)
2,2017,Dorothy Wardle,Corporate,Columbus,Ohio,East,Office Supplies,Paper,Xerox 1916,$78.30 ,2,0.2,$29.36 
2,2017,Dorothy Wardle,Corporate,Columbus,Ohio,East,Office Supplies,Fasteners,Staples,$21.46 ,9,0.2,$6.97 
10,2016,Lena Creighton,Consumer,Roseville,California,West,Office Supplies,Paper,Xerox 195,$20.04 ,3,0,$9.62 
10,2016,Lena Creighton,Consumer,Roseville,California,West,Office Supplies,Paper,Xerox 1880,$35.44 ,1,0,$16.66 
10,2016,Lena Creighton,Consumer,Roseville,California,West,Office Supplies,Art,"Sanford Colorific Colored Pencils, 12/Box",$11.52 ,4,0,$3.46 
10,2016,Lena Creighton,Consumer,Roseville,California,West,Office Supplies,Fasteners,Ideal Clamps,$4.02 ,2,0,$1.97 
10,2016,Lena Creighton,Consumer,Roseville,California,West,Office Supplies,Binders,GBC Wire Binding Strips,$76.18 ,3,0.2,$26.66 
10,2016,Lena Creighton,Consumer,Roseville,California,West,Office Supplies,Supplies,Fiskars Softgrip Scissors,$65.88 ,6,0,$18.45 
10,2016,Lena Creighton,Consumer,Roseville,California,West,Furniture,Furnishings,Longer-Life Soft White Bulbs,$43.12 ,14,0,$20.70 
9,2016,Jonathan Doherty,Corporate,Philadelphia,Pennsylvania,East,Furniture,Furnishings,"Howard Miller 13-3/4 Diameter Brushed Chrome Round Wall Clock""""",$82.80 ,2,0.2,$10.35 
9,2017,Sally Hughsby,Corporate,San Francisco,California,West,Office Supplies,Art,Newell 343,$8.82 ,3,0,$2.38 
9,2017,Sally Hughsby,Corporate,San Francisco,California,West,Office Supplies,Envelopes,Convenience Packs of Business Envelopes,$10.86 ,3,0,$5.10 
9,2017,Sally Hughsby,Corporate,San Francisco,California,West,Office Supplies,Paper,Xerox 1911,$143.70 ,3,0,$68.98 
12,2017,Sandra Glassco,Consumer,Independence,Missouri,Central,Office Supplies,Appliances,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,$839.43 ,3,0,$218.25 
9,2015,Helen Andreada,Consumer,Pasadena,California,West,Office Supplies,Storage,Safco Industrial Wire Shelving,$671.93 ,7,0,$20.16 
10,2014,Maureen Gastineau,Home Office,Newark,Ohio,East,Furniture,Furnishings,"Seth Thomas 14 Putty-Colored Wall Clock""""",$93.89 ,4,0.2,$12.91 
12,2016,Justin Ellison,Corporate,Franklin,Wisconsin,Central,Technology,Phones,Plantronics Cordless Phone Headset with In-line Volume - M214C,$384.45 ,11,0,$103.80 
12,2016,Justin Ellison,Corporate,Franklin,Wisconsin,Central,Technology,Phones,Anker Astro 15000mAh USB Portable Charger,$149.97 ,3,0,$6.00 
12,2016,Justin Ellison,Corporate,Franklin,Wisconsin,Central,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back","$1,951.84 ",8,0,$585.55 
12,2016,Justin Ellison,Corporate,Franklin,Wisconsin,Central,Office Supplies,Binders,GBC Prestige Therm-A-Bind Covers,$171.55 ,5,0,$80.63 
3,2016,Tamara Willingham,Home Office,Scottsdale,Arizona,West,Office Supplies,Appliances,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,$157.92 ,5,0.2,$17.77 
3,2016,Tamara Willingham,Home Office,Scottsdale,Arizona,West,Technology,Phones,Jabra BIZ 2300 Duo QD Duo Corded Headset,$203.18 ,2,0.2,$15.24 
5,2015,Stephanie Phelps,Corporate,San Jose,California,West,Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes,$58.38 ,7,0,$26.27 
5,2015,Stephanie Phelps,Corporate,San Jose,California,West,Office Supplies,Paper,Xerox 1883,$105.52 ,4,0,$48.54 
5,2015,Stephanie Phelps,Corporate,San Jose,California,West,Office Supplies,Storage,"Tenex Personal Project File with Scoop Front Design, Black",$80.88 ,6,0,$21.03 
5,2015,Neil Knudson,Home Office,Seattle,Washington,West,Office Supplies,Art,Newell 311,$6.63 ,3,0,$1.79 
3,2014,Dave Brooks,Consumer,Seattle,Washington,West,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,$457.57 ,2,0.2,$51.48 
11,2016,Nora Paige,Consumer,Edmond,Oklahoma,Central,Office Supplies,Labels,Avery 519,$14.62 ,2,0,$6.87 
11,2016,Nora Paige,Consumer,Edmond,Oklahoma,Central,Technology,Phones,Avaya 5420 Digital phone,$944.93 ,7,0,$236.23 
5,2016,Ted Trevino,Consumer,Los Angeles,California,West,Office Supplies,Paper,Xerox 1920,$5.98 ,1,0,$2.69 
12,2015,Eric Murdock,Consumer,Philadelphia,Pennsylvania,East,Technology,Accessories,Lenovo 17-Key USB Numeric Keypad,$54.38 ,2,0.2,$1.36 
11,2016,Ruben Dartt,Consumer,Carlsbad,New Mexico,West,Office Supplies,Envelopes,Staple envelope,$28.40 ,5,0,$13.35 
11,2016,Max Jones,Consumer,Seattle,Washington,West,Office Supplies,Binders,Wilson Jones International Size A4 Ring Binders,$27.68 ,2,0.2,$9.69 
9,2014,Becky Martin,Consumer,San Antonio,Texas,Central,Office Supplies,Art,BIC Brite Liner Highlighters,$9.94 ,3,0.2,$2.73 
9,2014,Becky Martin,Consumer,San Antonio,Texas,Central,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,"$8,159.95 ",8,0.4,"($1,359.99)"
9,2014,Becky Martin,Consumer,San Antonio,Texas,Central,Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving.,$275.93 ,3,0.2,($58.63)
9,2014,Becky Martin,Consumer,San Antonio,Texas,Central,Furniture,Chairs,SAFCO Arco Folding Chair,"$1,740.06 ",9,0.3,($24.86)
9,2014,Becky Martin,Consumer,San Antonio,Texas,Central,Office Supplies,Art,Sanford Liquid Accent Highlighters,$32.06 ,6,0.2,$6.81 
9,2014,Becky Martin,Consumer,San Antonio,Texas,Central,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece Power Center,$177.98 ,5,0.8,($453.85)
9,2014,Becky Martin,Consumer,San Antonio,Texas,Central,Technology,Phones,JBL Micro Wireless Portable Bluetooth Speaker,$143.98 ,3,0.2,$9.00 
8,2014,Chad Sievert,Consumer,Los Angeles,California,West,Office Supplies,Paper,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",$20.94 ,3,0,$9.84 
8,2014,Chad Sievert,Consumer,Los Angeles,California,West,Office Supplies,Paper,Xerox 1913,$110.96 ,2,0,$53.26 
